Truth(English),Truth (Telugu),Predicted
lab,ల్యాబ్,లాప్
anakaaputtoorulo,అనకాపుత్తూరులో,అనకాపుట్ట్రోరోో
vishvasaniiyata,విశ్వసనీయత,విష్వసానియత
moolapadadam,మూలపడడం,మూలపడడడం
ithivrutham,ఇతివృత్తం,ఇథివ్రూతం
prudential,ప్రూడెన్షియల్,ప్రుడేంటిలలల
henson,హెన్సన్,హెన్ససన్
yeekrindi,యీక్రింది,యీక్రినింది
saunders,సౌండర్స్,సాందర్్్్
bhishmudiki,భీష్ముడికి,భిష్ముముడికి
aarka,ఆర్కా,ఆర్కక
kriyalaku,క్రియలకు,క్రియాలకక
vunnaarandaru,వున్నారందరు,వున్నారంరందరు
kathakudu,కథకుడు,కతకకుడు
aatmalaku,ఆత్మలకు,ఆత్మలకకక
velikiteestoone,వెలికితీస్తూనే,వెలికితీస్స్నీనే
raadha,రాధ,రాధా
pratibimbistuu,ప్రతిబింబిస్తూ,ప్రతిసిిి్్్స్తు
nivaasasthudigaa,నివాసస్థుడిగా,నివాసస్తుతుదిగా
paso,పసో,పాలో
karivepaaku,కరివేపాకు,కరివేపాకుక
rakshinchataaniki,రక్షించటానికి,రా్ష్ిించాానికి
mahalakshmi,మహాలక్ష్మి,మాహలక్ష్్ిిి
bharatiiyulapai,భారతీయులపై,భాయతియయయలకైై
aaharamugaa,ఆహారముగా,ఆహరమమగగగ
dixon,డిక్సన్,దికోన్
balaghat,బాలఘాట్,బలలాా్
jarupukuntunna,జరుపుకుంటున్న,జారుపుకుంటున్ననన
velletappudu,వెళ్ళేటప్పుడు,వెళ్లేటప్పపపుడు
rajasthan,రాజస్థాన్,రాజస్థరరన
dhigaaru,దిగారు,ధిగారు
mobile,మొబైల్,మోసిలే
intikeltaanani,ఇంటికెళ్తానని,ఇంటికెళ్స్తానని
mahaalaya,మహాలయ,మహాలలయయ
kalisiyundunu,కలిసియుండును,కలిసియుంంంననన
waarrior,వారియర్,వార్రియయయ్
thaagubothula,తాగుబోతుల,తాగుబుతోతూల
kollayi,కొల్లాయి,కోల్లాయయ
charithrakarulaku,చరిత్రకారులకు,చరిత్రరారులలక
teesukovaalsi,తీసుకోవాల్సి,తీసుకోవావాల్సి
tikket,టికెట్,తిక్కేట్
cheratam,చేరటం,చెరతంం
khan,ఖాన్,ఖాన
departure,డిపార్చర్,దిపర్్్్రర
janesville,జెనెస్విల్ల్,జననెస్విల్ల్
uppal,ఉప్పల్,ఉప్పాల్
bhagawat,భగవత్,భాగాా్్
tirigiposaagindi,తిరిగిపోసాగింది,తిరిగిపోసాలైంది
aktiviti,ఆక్టివిటీ,అక్టివితి
dhilliini,ఢిల్లీని,ధిల్లినిని
padavalasina,పడవలసిన,పడవలలిిిన
padhilangaa,పదిలంగా,పధిజంగగగ
dhigabadina,దిగబడిన,ధిగబాిిి
universitylo,యూనివర్శిటీలో,ఉూనివరరసిిిి్లల
lohamtho,లోహంతో,లోహంతో
kandaraalaku,కండరాలకు,కందరాలకు
prakatinchabotunnatlu,ప్రకటించబోతున్నట్లు,ప్రకకటించచుుతున్్ట్
ludivic,లుడివిక్,లుడివిక్
adistaanam,అదిస్టానం,అదిస్తానం
koolchivesi,కూల్చివేసి,కోల్చివివేసి
tisukupovadaniki,తీసుకుపోవడానికి,తిసుకుపోపోవదనిిి
foodworks,ఫుడ్వర్క్స్,పూడ్విర్్్సస
rochester,రోచేస్టర్,రోచ్చెస్తేర్
roodlu,రోడ్లు,రూజ్లు
strongsville,స్ట్రాంగ్స్విల్ల్,సిట్యోనిి్్్్్్లలల
gandhi,గాంధి,గంధి
kshinathaku,క్షీణతకు,క్షినతతకు
bollaapalli,బొల్లాపల్లి,బోల్లాపాలలలిి
preet,ప్రీత్,ప్రీత్ట్
pravesinchina,ప్రవేశించిన,ప్రవేశింంచిన
aandolanala,ఆందోళనల,ఆందోలనాల
swanson,స్వన్సన్,స్వా్ససనన
daaditho,దాడితో,దాదితో
evmlane,ఇవిఎంలనే,ఎవిగ్లాే
andhinchaalane,అందించాలనే,అంధించాలనే
aadesinchagaa,ఆదేశించగా,ఆదేసించగా
ardhaalanu,అర్ధాలను,అర్ధాలను
rojuluga,రోజులుగా,రోజులుగగగ
parinaamaaniki,పరిణామానికి,పరినామానినికి
terakekkabotondata,తెరకెక్కబోతోందట,తెరకెక్క్కకోతింద
guuarani,గ్వారని,గూయారని
shaastraveettha,శాస్త్రవేత్త,శాస్త్రాేేేటటట
taralistundagaa,తరలిస్తుండగా,తరలిసససతుంంగాా
agakunda,ఆగకుండా,అగకుంండ
spandistharo,స్పందిస్తారో,స్పంంిసస్తాా
antimarushi,అంతిమఋషి,అంటిమరరరరరిి
baksing,బాక్సింగ్,బాక్సిిిి
chaestumdaa,చేస్తుందా,చేస్తుందా
gaduvunu,గడువును,గాడుుును
raapeti,రాపేటి,రాపెటి
peduthundagaa,పెడుతుండగా,పెదుతుందగా
bandhuvulaku,బంధువులకు,బంధువువులకు
kaligina,కలిగినా,కలిగిన
moolikaa,మూలికా,మూలికా
kiranala,కిరణాల,కిరనాా
buchchi,బుచ్చి,బుచ్చ్చి
surgary,సర్జరీ,సుర్గా్య
baker,బేకర్,బాక్్్
athmatho,ఆత్మతో,అత్మతతో
rakshakudu,రక్షకుడు,రా్షషకుడడ
prana,ప్రాణ,ప్రనన
mosley,మోస్లీ,మోస్లీయ్
balot,బ్యాలెట్,బాలోట్
dashalavaareegaa,దశలవారీగా,దాషలవారీహేగా
westindestho,వెస్టిండీస్తో,వెస్తిందదశ్్్టి
suddhiga,శుద్ధిగా,సుద్ధిగా
golla,గొల్ల,గోల్ల
athanni,అతన్ని,అతనననని
kimidi,కిమిడి,కిమిది
raajayyaniki,రాజ్యానికి,రాజయ్యనిిిి
felix,ఫిలిక్స్,ఫెలిక్
mukhaanni,ముఖాన్ని,ముఖానాన్ని
bapat,బాపట్,బాపటట్
rendellu,రెండేళ్ళు,రెందెల్లు
liberty,లిబర్టీ,లిబెర్త్
nilichinan,నిలిచినన్,నిలిచినననన
puttaboye,పుట్టబోయే,పుట్టబోో
bucchi,బుచ్చి,బుక్చి
vipattula,విపత్తుల,విపట్ట్కుల
deth,డెత్,దిత్
commerce,కామర్స్,కామ్మరర్్్
vyabhichaara,వ్యభిచార,వ్యారిిచారర
karachi,కరాచీ,కరర్ిి
uttamamgaa,ఉత్తమంగా,ఉత్టమంగగా
chestunnaadantunnaaru,చేస్తున్నాడంటున్నారు,చెస్తుతున్నాదండున్నారు
kaasilo,కాశీలో,కాసిలో
dhittangaa,దిట్టంగా,ధిత్టంగా
thaittireeya,తైత్తిరీయ,తైత్తిరీయయయ
varnincharu,వర్ణించారు,వార్నించరర
paruchoori,పరుచూరి,పరుచురరరి
youngstown,యంగ్స్టౌన్,యూంట్స్తోోిన్
upayooginchukobaduthundi,ఉపయోగించుకోబడుతుంది,ఉపయోగిిిచచుకోుదుుదదది
bharatiyulapie,భారతీయులపై,భాయతియయలలలి
tharamgini,తరంగిణి,తరాగగిని
tyler,టైలర్,తిలిస్్్
higgins,హిగ్గిన్స్,హిగ్గిన్్్
dhavadalu,దవడలు,ధావగలు
madhyavartitvam,మధ్యవర్తిత్వం,మార్యవర్్ిటిక్క
eduravtuntaayani,ఎదురౌతుంటాయని,ఎదురవ్కుుటంయయిి
tiraskarinchavachchu,తిరస్కరించవచ్చు,తిరస్కాించవచచచ్చచచ
paaraayanha,పారాయణ,పారాయణీణ
chaeyimchina,చేయించిన,చేయించిన
sciences,సైన్సెస్,స్కియిన్్్్
shaaku,షాకు,శాకు
oravadi,ఒరవడి,ఒరవవడి
anwayinchewaaru,అన్వయించేవారు,అన్వయయించేేారు
palpadindi,పాల్పడింది,పా్్పడింది
heritage,హెరిటేజ్,హెరితగగే
oohisthaaru,ఊహిస్తారు,ఊహిస్తారుర
sambhaashanhala,సంభాషణల,సంభాషాషనాల
ashta,అష్టా,అష్ట
strongsville,స్ట్రాంగ్స్విల్లే,సిట్యోనిి్్్్్్లలల
bible,బైబిల్,బిస్స్
bhagavath,భగవత్,భాగవత్్
bayonne,బయోన్,బాయనననన
leandro,లియండ్రో,లేంంి్్్
samarpinchiri,సమర్పించిరి,సమర్పించిిిర
nadhilooki,నదిలోకి,నధిలోోో
sandharbhamulo,సందర్భములో,సంధర్భహభభమోో
aagaledu,ఆగలేదు,ఆగలేదు
samatulyata,సమతుల్యత,సమతుల్య్యత
kaayamu,కాయము,కాయము
penchutunnaaru,పెంచుతున్నారు,పెంచుతున్నానురు
grishma,గ్రీష్మ,గ్రిష్మా
betul,బేతుల్,బెటుల్
pramukhulalo,ప్రముఖులలో,ప్రములులులలో
raajyasabha,రాజ్యసభ,రాజ్యసాభభ
muthyaalanu,ముత్యాలను,ముత్యాయాలను
vandina,వండిన,వండిన
jyaeshta,జ్యేష్ఠ,జ్యీశ్ట్
samchikaku,సంచికకు,సంచికకకక
vaartalanu,వార్తలను,వార్తలాను
nishtatho,నిష్టతో,నిష్టతో
jagdalpur,జగ్దల్పుర్,జగగిగా్పుర్
bhaaryaabhartala,భార్యాభర్తల,భార్యాభాభర్తా
aleem,అలీమ్,అలీం
kandara,కండర,కందరర
finserv,ఫిన్సర్వ్,ఫిన్ససర్్్
chesaaru,చేసారు,చేశారుర
balmer,బల్మెర్,బాల్మరర్
ghorangaa,ఘోరంగా,ఘోరంగాా
dongatanaala,దొంగతనాల,దింగటనామాల
austreliapai,ఆస్ట్రేలియాపై,ఆబ్త్రరలలలే
pachigaanee,పచ్చిగానే,పచ్్ిగానీ
viswadaabhiraama,విశ్వదాభిరామ,విస్వదాభూరిరామా
sophiaa,సోఫియా,సోఫ్దా
jharkhand,ఝార్ఖండ్,ధరర్చండి
aastreliyaapai,ఆస్ట్రేలియాపై,ఆస్త్రేలియాాాపై
musharu,మూశారు,ముషారర
hormonula,హార్మోనుల,హోర్మోననమలల
caagitampai,కాగితంపై,కాగిటంపంపై
prayaninchey,ప్రయాణించే,ప్రయయనించేేే
vistharimpa,విస్తరింప,విస్తరింపంం
sarvumunu,సర్వమును,సా్్ుుునను
jyotsna,జ్యోత్స్న,జ్యోత్స్్్
lalchandani,లల్చందని,లాల్చందని
anthamavuthundhi,అంతమవుతుంది,అంతమవవుుుంంది
rgaanno,ర్గాన్నో,ర్గాన్న
pradarsinchukunnaarani,ప్రదర్శించుకున్నారని,ప్రదరర్సించచుున్నననన
dhruveekarana,ధృవీకరణ,ధిరువీకరకరన
atmaga,ఆత్మగా,అత్మగగ
composites,కాంపోజిట్స్,కాపపపససిిససస
cherukunnappudu,చేరుకున్నప్పుడు,చెరుకుుున్నప్పపుుు
alankarinchabadi,అలంకరించబడి,అలంకరించ్ంబాది
padatamtho,పడటంతో,పడటంతోో
panchaaraama,పంచారామ,పంచారారామ
fluorochemicals,ఫ్ల్యూరోకెమికల్స్,ఫిలూరోరిచ్వవవి్్్
bommalo,బొమ్మలో,బోమ్మలలో
vartamaanam,వర్తమానం,వా్తమానంంం
hess,హెస్,హెస్స్
yadhurkonagalanu,ఎదుర్కొనగలను,యధరర్్కోననగాను
amerikan,అమెరికన్,అమెరికన
kottayam,కోట్టయం,కొట్ట్తాం
abhimaana,అభిమాన,అభిమానా
erpadataaniki,ఏర్పడటానికి,ఎర్పడతాానికి
samudrikam,సాముద్రికం,సముత్రికకక
sainyalatho,సైన్యాలతో,సైన్యలతతతో
nirmoolinchaali,నిర్మూలించాలి,నిర్మోలివించాలి
thippagaanae,తిప్పగానే,తిప్పగానైన
bhopal,భోపాల్,భోపాలల
bhavincheevaru,భావించేవారు,భావించేవరరు
gray,గ్రే,గ్రాయ
strokes,స్ట్రోక్స్,సిట్రోకేస్
chathurdha,చతుర్ధ,చారర్్ధ
aadhaaraalanu,ఆధారాలను,ఆధారాభాలను
samsadh,సంసద్,సంశధధ
redding,రెడ్డింగ్,రెద్దింంి
bhaaratheeyulapai,భారతీయులపై,భారతీీీయులపై
kaase,కాసే,కాసే
rutu,ఋతు,రూతు
sakramamaina,సక్రమమైన,సక్రమమమైన
rasamaya,రసమయి,రాయమయయ
bhavanaalaku,భవనాలకు,భావనాలకు
astra,అస్త్ర,అస్త్ర
teesukunnaayi,తీసుకున్నాయి,తీసుకున్న్నాయి
prathaaparudhra,ప్రతాపరుద్ర,ప్రతాాారుంరరరర
haiskululo,హైస్కూలులో,హైస్కులులులో
pataye,పతయే,పాతయ
daarina,దారిన,దారిన
vidvaamsudu,విద్వాంసుడు,విద్వాంశశసుడు
magadu,మగడు,మాగడు
cables,కేబుల్స్,కాబ్స్ససస
avannee,అవన్నీ,అవన్ని
gloo,గ్లూ,గ్లో
challagane,చల్లగానే,చాలలలగనే
aadhwaryamuloo,ఆధ్వర్యములో,ఆధ్వర్యముమమల
samchaaramu,సంచారము,సంచారారము
dhaulpur,ధవల్పూర్,ధాస్పుర్
sulthanulu,సుల్తానులు,సుల్తనులుల
kadupuloeki,కడుపులోకి,కడుపులోలోకి
daar,దార్,దార్
ddhi,ద్ధి,దిధి
vikalaangulu,వికలాంగులు,వికలాంంగగలుల
domen,డొమైన్,దోమెన్
abhyarthulanu,అభ్యర్థులను,అభ్యర్తుతులను
aandolanalaku,ఆందోళనలకు,ఆందోలనాలకు
tyagam,త్యాగం,త్యగగం
deeshi,దేశి,దీష్
avasaramai,అవసరమై,అవసరామై
tera,తెర,తెరా
gurtistundannaaru,గుర్తిస్తున్నదన్నారు,గుర్తిస్తుందన్నారు
haveli,హవేలీ,హావేలి
yuddhaalu,యుద్ధాలు,యుద్ధాలు
sariraa,సరిరా,సరిరా
draoupadito,ద్రౌపదితో,ద్రోపాిిిి
sarihaddulaloo,సరిహద్దులలో,సరిహద్డులలలల
aalasyam,ఆలస్యం,ఆలస్యా
vasudevarao,వాసుదేవరావు,వాుతడవవరా
luna,లూనా,లునా
departchar,డిపార్చర్,దిపార్్చచరర
ainappataki,ఐనప్పటికీ,ఆనప్పటకకకి
aamodincharu,ఆమోదించారు,ఆమోదించరరర
perugudala,పెరుగుదల,పెరుగుడాడల
whitaker,విటేకర్,వితకక్్్
charita,చరిత,చరిత
gurraniki,గుర్రానికి,గుర్రానిిిి
chitraranga,చిత్రరంగ,చిత్రరణంగగ
infobeans,ఇన్ఫోబీన్స్,ఇన్రోసాారర్్
neramga,నేరంగా,నెరంగగ
thippadam,తిప్పడం,తిప్పడంం
ansari,అన్సారీ,అన్రరర
austrelialoni,ఆస్ట్రేలియాలోని,ఆత్త్రరలలలలలిని
industrial,ఇండస్ట్రియల్,ఇందుస్త్ర్రరలల
rasaru,రాసారు,రాసారు
guntur,గుంటూర్,గుంట్ర్
grandhaalayaalanu,గ్రంథాలయాలను,గ్రంంంాలలాాలను
sandarbhamuna,సందర్భమున,సందర్భమునము
sanniveshaallo,సన్నివేశాల్లో,సన్నివేశశశలల్లల
kutraku,కుట్రకు,కుట్రకకక
vellipoyaademo,వెళ్లిపోయాడేమో,వెళ్లిపోయాయాదీమో
infraprojects,ఇన్ఫ్రాప్రాజెక్ట్స్,ఇన్రరరరరరిిి్్్్
kaasiki,కాశీకి,కాసికి
nadu,నాడు,నా
mede,మేడే,మెడే
chaturvedi,చతుర్వేది,చారర్్వవదిి
bhagalalo,భాగాలలో,భాగలలోో
alochanato,ఆలోచనతో,అలోచ్పనతో
nucleus,న్యూక్లియస్,నుక్లీస్స్
vootam,వూతం,వూటం
amerikanla,అమెరికన్ల,అమెరికంలలల
heeroyin,హీరోయిన్,హీరోయియి
himatsingka,హిమ్మత్సింగ్కా,హిమత్ససిిిికక
sastravetta,శాస్త్రవేత్త,సాస్్్రవెట్టట
reliance,రిలయన్స్,రిలియన్్్
randolph,రాండోల్ఫ్,రంంోోల్్్
sruti,శ్రుతి,స్రూతి
vetanam,వేతనం,వెటననం
prakrutishaastra,ప్రకృతిశాస్త్ర,ప్రక్సోతిషాస్స్న్
ravo,రావో,రావో
leach,లీచ్,లీఖ్్
kamarhati,కమర్హటి,కమరరరతి
savaranani,సవరణని,సవఫననని
uttharayanam,ఉత్తరాయణము,ఉత్తరాయయనం
nuuthanamgaa,నూతనంగా,నూయనంంగగ
caritrakarul,చరిత్రకారుల,కారిత్రకరరరలల
sankshobhaniki,సంక్షోభానికి,సంక్షూరరరరికిిి
cheyalekapotunnaamante,చేయలేకపోతున్నామంటే,చేయాలకకపోతున్నానం
guravutunnappatiki,గురవుతున్నప్పటికి,గురవుతున్న్నప్పటికి
south,సౌత్,సూయ్
pramaanhaalloo,ప్రమాణాల్లో,ప్రమాధధధాల్లో
bjploki,బీజేపీలోకి,బ్జిక్లోకి
soubhari,సౌభరి,సూభరరి
laagadam,లాగడం,లాగడంం
parween,పర్వీన్,పార్ేీన్
kavithalanu,కవితలను,కవితలలమన
mana,మాన,మాన
chennai,చెన్నై,చెన్ని
parishodhistunnaarani,పరిశోధిస్తున్నారని,పరిషోధధధిస్తున్నారని
cheshaayani,చేశాయని,చేషాయాయని
emmelyelapai,ఎమ్మెల్యేలపై,ఎమ్మెల్య్లేేపై
peethaanni,పీఠాన్ని,పీతాన్న్ని
matastula,మతస్తుల,మాసససతతుల
pakkuna,పక్కున,పకకకకున
tolagipotaayi,తొలగిపోతాయి,తోలగిపోతాయోి
varasaloe,వరసలో,వరసాలో
thanakuu,తనకూ,తనటక
picca,పిక్క,పిక్క్
perth,పెర్త్,పెర్త్
belide,బిలైడ్,బెలిదే
cousin,కజిన్,కోసిి
sheboygan,షెబోయ్గన్,శెబోయిగా
rojurojukoo,రోజురోజుకూ,రోజురోజికుకో
micqey,మిక్కీ,మిక్సీ
buddha,బుద్ధ,బుద్ధా
fasteners,ఫాస్టెనర్స్,ఫాస్తినరర్సస
tanikhi,తనిఖీ,తనిలిి
gauravaalundi,గౌరవాలుండి,గూరవాలులడంది
vaarikee,వారికీ,వారికీ
udhampur,ఉధమ్పూర్,ఉధంపుర్్్
yuvata,యువత,యువట
khaaleelu,ఖాళీలు,ఖాలీలోల
saarinchaaru,సారించారు,సారించారు
escondido,ఎస్కోండిడో,ఎస్కకకిిిిి
pooshinchaaru,పోషించారు,పూషించారుర
madhya,మధ్య,మార్య
dhanaguptudu,ధనగుప్తుడు,ధనముుు్టటుడు
assam,అస్సాం,అస్సం
chitranshi,చిత్రాంశీ,చిత్రనరరరిి
samchaara,సంచార,సంచారార
mrutiki,మృతికి,మ్యోటికి
soochikalanu,సూచికలను,సూచికలలాను
subhratha,శుభ్రత,సుభ్రాా
praatipadikapie,ప్రాతిపదికపై,ప్రాతిపాిిిిి
rehman,రెహ్మాన్,రిహ్మాన
dunwoody,డన్వుడీ,దున్కోయియి
unnanthavaraku,ఉన్నంతవరకూ,ఉన్నంతకరవరకు
granthaalayyalanu,గ్రంథాలయాలను,గ్రంంతాలలయ్యలము
kechap,కెచప్,కెచ్చప్
janapadham,జానపదం,జనపంధం
aajaad,ఆజాద్,ఆహాడ్
sing,సింగ్,సింగ్
ujjain,ఉజ్జయిన్,ఉజ్జైన్
dharsanaaniki,దర్శనానికి,ధరర్ాాానికి
vikram,విక్రమ్,విక్రా
ander,అండర్,అందరర్
avetar,అవతార్,అవెటరర్
agnyapinchina,ఆజ్ఞాపించిన,అగ్న్యపించినచి
maartial,మార్షల్,మార్తియాల
aranyamloo,అరణ్యంలో,అరన్యంలోో
tejaswini,తేజస్విని,తెజా్్ిినన
nipunudu,నిపుణుడు,నిపునుడుడు
suukti,సూక్తి,సూక్టి
anveshisthuu,అన్వేషిస్తూ,అంంెషషిి్్తో
srinagar,శ్రీనగర్,స్రినగగర్
jaaree,జారీ,జారీ
lucie,లూసీ,లాకి
rakanganuu,రకంగానూ,రాకంగనూ
vishnuvunu,విష్ణువును,విష్నువువును
varavararao,వరవరరావు,వరవారరా
tharamgaalanu,తరంగాలను,తరంగగాలను
maaruteeravu,మారుతీరావు,మారుతీరేరవు
vyavaharinche,వ్యవహరించే,వ్యవహహరిిచచే
balopetamavutunnaayi,బలోపేతమవుతున్నాయి,బాలకకటటమవవుుననననననన
dubey,దుబెయ్,దుబేయ్
praatipadikagaa,ప్రాతిపదికగా,ప్రాతిపాిిగగగా
palachani,పలచని,పలలాాని
francisco,ఫ్రాన్సిస్కో,ఫ్రాపకిి్్్
pattukuntunnappatikee,పట్టుకుంటున్నప్పటికీ,పట్టుకుంటటంట్నట్టి
tidipiloki,టీడీపీలోకి,తిడిపిలోలి
agnani,అజ్ఞాని,అగ్ననన
aahvaanaalu,ఆహ్వానాలు,ఆహ్వానాలు
viramana,విరమణ,విరమమన
mundumaataloo,ముందుమాటలో,ముందుమాతలో
betaala,బేతాళ,బెటాలా
maruti,మారుతి,మారుతి
kavayitriga,కవయిత్రిగా,కవవయయి్్రిగగ
krishna,కృష్ణ,క్రిష్న
aidellake,అయిదేళ్లకే,ఆదెల్లకే
prathibimba,ప్రతిబింబ,ప్రతిిి్్ంబ
mostunnappude,మోస్తున్నప్పుడే,మోస్తున్న్నప్పుడే
macon,మేకన్,మాకోన్
aasaya,ఆశయ,ఆసయయ
yenatikii,ఏనాటికీ,యినతిిిి
robins,రాబిన్స్,రోసిన్సస
neethi,నీతి,నీయి
laabhadaayakamaina,లాభదాయకమైన,లాభదాహకమమైన
airtel,ఎయిర్టెల్,ఆమ్తిస్
manushya,మనుష్య,మనన్స్యయ
anaparthi,అనపర్తి,అనపర్థీి
arthamloo,అర్థంలో,అర్తంలోల
yakima,యాకిమా,యాకిమ
bodhimchadaaniki,బోధించడానికి,బోధించడాానికి
patan,పటాన్,పానన
sastrachikitsaloe,శస్త్రచికిత్సలో,సాస్్్రచిిిి్్్్
maikrofloraanu,మైక్రోఫ్లోరాను,మైక్రోర్లలలారరను
dhanyam,ధాన్యం,ధన్యంం
morrison,మారిసన్,మోర్రిసోన్
pooritha,పూరిత,పూరితా
pakisthan,పాకిస్థాన్,పాకిస్తన
telangana,తెలంగాణా,తెలంగన
arthamlo,అర్థంలో,అర్తంలోల
roogaanni,రోగాన్ని,రూగాన్నిని
kaalakramena,కాలక్రమేణ,కాలక్రమానై
varninchee,వర్ణించీ,వార్నించే
prathibimbam,ప్రతిబింబం,ప్రతిిిప్ంబం
shravanabelagola,శ్రావణబెళగొళ,శ్రవంణబబలలగోల
conasaaginchanunnaru,కొనసాగించనున్నారు,కోనససాాగించనున్నారు
raajawwato,రాజవ్వతో,రాజా్వకక
abhimaanulee,అభిమానులే,అభిమానుమోలే
nallapareddi,నల్లపరెడ్డి,నా్లపారేే్దిి
palapunta,పాలపుంత,పలకుుంట
cukie,కుకీ,కాకి
tanaku,తనకూ,తనకు
alavatina,అలవాటైన,అలవతిన
vinipistoo,వినిపిస్తూ,వినిపిస్తో
yaantrikamaina,యాంత్రికమైన,యాంత్రిిిలమైన
pragalbhaalu,ప్రగల్భాలు,ప్రగగల్భాలు
krushnaarjunulu,కృష్ణార్జునులు,కృష్్్నార్లునునులు
aavaginjantha,ఆవగింజంత,ఆవగిందదంతత
chesukuntundannadi,చేసుకుంటుందన్నది,చేసుకుంటంంంందన్నది
erpadindani,ఏర్పడిందని,ఎర్పాిిదదని
cheptoo,చెప్తూ,చెప్ట్ో
anneeseeju,అన్నీసీజు,అన్నీసేజేు
praantamuloo,ప్రాంతములో,ప్రాంతములో
kaalidasu,కాళిదాసు,కాలిదసస
pattukunnaamanna,పట్టుకున్నామన్న,పట్టుకున్నామన్ననన
amanagaa,ఏమనగా,అమనగా
duradrushtakara,దురదృష్టకర,దురద్రుష్టకార
samaachaaramlo,సమాచారంలో,సమాచారారంలో
phangal,ఫంగల్,ఫంగాల
bedirimpulaku,బెదిరింపులకు,బెదిరింపులకు
samudaayaalu,సముదాయాలు,సముడాయాలాల
ray,రే,రాయ
khandince,ఖండించే,ఖంంిిి్్ే
nagaraallo,నగరాల్లో,నగగాలలల్లో
pradhanyamgaa,ప్రాధాన్యంగా,ప్రధధన్యంగగగ
kamdaraala,కండరాల,కందరాల
malaysiake,మలేషియాకే,మాలయససయయల
rangamma,రంగమ్మ,రంగమ్మమ
maargadarshakudaina,మార్గదర్శకుడైన,మార్గగారరషషామమన
cathedral,కేథడ్రల్,కాతెద్రాలల
ane,అనె,అని
avagaahana,అవగాహన,అవగాహన
briyan,బ్రియాన్,బ్రియాన్
aavagimjamta,ఆవగింజంత,ఆవగింజంత
panitanam,పనితనం,పనితనం
steroid,స్టెరాయిడ్,స్టెరాయిడ్
kudinchutundi,కుదించుతుంది,కుదించుతుంది
iddhari,ఇద్దరి,ఇద్దరి
thappukuntune,తప్పుకుంటూనే,తప్పుకుంటూనే
insurance,ఇన్సూరెన్స్,ఇన్సూరెన్స్
kheda,ఖేద,ఖేద
greer,గ్రీర్,గ్రీర్
mamdha,మంద,మంద
anugrahistaayi,అనుగ్రహిస్తాయి,అనుగ్రహిస్తాయి
nagaur,నాగౌర్,నాగౌర్
dhaman,థమన్,ధమన్
shantiniketan,శాంతినికేతన్,శాంతినికేతన్
ematram,ఏమాత్రం,ఏమాత్రం
ayipoyindannaaru,అయిపోయిందన్నారు,అయిపోయిందన్నారు
polyplex,పోలీప్లెక్స్,పోలీప్లెక్స్
raamaayanam,రామాయణం,రామాయణం
maanthrika,మాంత్రిక,మాంత్రిక
singana,సింగన,సింగన
daasii,దాసీ,దాసీ
mayday,మేడే,మేడే
daldovaa,దల్దోవా,దల్దోవా
breweries,బ్రీఎరీస్,బ్రీఎరీస్
somavaramu,సోమవారము,సోమవారము
satin,సాటిన్,సాటిన్
juustnnai,జూస్తున్నాయి,జూస్తున్నాయి
sikshanaku,శిక్షణకు,శిక్షణకు
dayyalu,దయ్యాలు,దయ్యాలు
brahmapur,బ్రహ్మపూర్,బ్రహ్మపూర్
caarbon,కార్బన్,కార్బన్
ayitene,అయితేనే,అయితేనే
bhoobhaagaaniki,భూభాగానికి,భూభాగానికి
jimmi,జిమ్మీ,జిమ్మీ
pettubadulaku,పెట్టుబడులకు,పెట్టుబడులకు
rungta,రంగ్తా,రుగ్తా
vayasulonu,వయసులోనూ,వయసులోనూ
pastha,పాస్తా,పాస్తా
vidyaarthulo,విద్యార్థులో,విద్యార్థులో
terakekkutondi,తెరకెక్కుతోంది,తెరకెక్కుతోంది
ayipotunna,అయిపోతున్న,అయిపోతున్న
komik,కామిక్,కామిక్
pennii,పెన్నీ,పెన్నీ
samchikaloo,సంచికలో,సంచికలో
indur,ఇండోర్,ఇండోర్
projekt,ప్రాజెక్ట్,ప్రాజెక్ట్
carbon,కార్బన్,కార్బన్
vesaadu,వేసాడు,వేసాడు
kayadaniki,కాయడానికి,కాయడానికి
singh,సింగ్,సింగ్
sanchikaku,సంచికకు,సంచికకు
dadhiichi,దధీచి,దధీచి
balaparachadamto,బలపరచడంతో,బలపరచడంతో
manhattan,మాన్హాటన్,మాన్హాటన్
eedchukuveltunnaaru,ఈడ్చుకువెళ్తున్నారు,ఈడ్చుకువెళ్తున్నారు
kadhapadam,కదపడం,కధపడం
varthamaanam,వర్తమానం,వర్తమానం
samaachaaramlooni,సమాచారంలోని,సమాచారంలోని
oravadini,ఒరవడిని,ఒరవడిని
nirvachinchina,నిర్వచించిన,నిర్వచించిన
minneapolis,మినియాపులిస్,మినియాపులిస్
teesukelutunnaaru,తీసుకెళుతున్నారు,తీసుకెళుతున్నారు
ivi,ఇవీ,ఇవి
vumtaayi,వుంటాయి,వుంటాయి
kolichi,కొలిచి,కోలిచ్చి
asoem,అసోం,అసోం
karaikal,కరైకల్,కరైకలల్
phoenix,ఫోనిక్స్,పోనిక్
mandalamulooni,మండలములోని,మందలమమమలోోని
kanpinchaayannaaru,కన్పించాయన్నారు,కననపించాయన్నారనన
affle,అఫిల్,అఫ్్్ల
varninchaaru,వర్ణించారు,వార్నించారు
sobhan,శోభన్,సోషననన
